Party,Candidates,Seats Won,% of Seats Won,% os Vote
Conservative Party of Canada/Parti conservateur du Canada to 1942,81,71,39.44%,23.74%
Liberal Party of Canada/Parti libéral du Canada,65,62,34.44%,22.67%
Liberal-Conservative,32,29,16.11%,11.08%
Anti-Confederate,19,18,10.00%,7.88%
Unknown/Sans désignation,141,0,0%,33.57%
Independent/Indépendant,1,0,0%,0.65%
Independent Liberal,1,0,0%,0.39%
