Party,Candidates,Seats Won,% of Seats Won,% os Vote
Liberal Party of Canada/Parti libéral du Canada,112,95,47.74%,34.88%
Conservative Party of Canada/Parti conservateur du Canada to 1942,90,62,31.16%,25.51%
Liberal-Conservative,46,35,17.59%,12.91%
Independent/Indépendant,6,3,1.51%,2.21%
Independent Liberal,4,2,1.01%,1.64%
Independent Conservative,2,1,0.50%,0.43%
Conservative-Labour,1,1,0.50%,0.45%
Unknown/Sans désignation,103,0,0%,21.97%
